location,total_sqft,size,price
Electronic City Phase II,1056.0,2,39.07
Chikka Tirupathi,2600.0,4,120.0
Uttarahalli,1440.0,3,62.0
Lingadheeranahalli,1521.0,3,95.0
Kothanur,1200.0,2,51.0
Whitefield,1170.0,2,38.0
Old Airport Road,2732.0,4,204.0
Rajaji Nagar,3300.0,4,600.0
Marathahalli,1310.0,3,63.25
Other,1020.0,6,370.0
Whitefield,1800.0,3,70.0
Whitefield,2785.0,4,295.0
7th Phase JP Nagar,1000.0,2,38.0
Gottigere,1100.0,2,40.0
Sarjapur,2250.0,3,148.0
Mysore Road,1175.0,2,73.5
Bisuvanahalli,1180.0,3,48.0
Raja Rajeshwari Nagar,1540.0,3,60.0
Other,2770.0,3,290.0
Other,1100.0,2,48.0
Kengeri,600.0,1,15.0
Binny Pete,1755.0,3,122.0
Thanisandra,2800.0,4,380.0
Bellandur,1767.0,3,103.0
Other,510.0,1,25.25
Other,1250.0,3,56.0
Electronic City,660.0,2,23.1
Whitefield,1610.0,3,81.0
Ramagondanahalli,1151.0,2,48.77
Electronic City,1025.0,3,47.0
Yelahanka,2475.0,4,186.0
Bisuvanahalli,1075.0,3,35.0
Hebbal,1760.0,3,123.0
Raja Rajeshwari Nagar,1693.0,3,57.39
Kasturi Nagar,1925.0,3,125.0
Kanakpura Road,700.0,2,36.0
Electronics City Phase 1,1070.0,2,45.5
Kundalahalli,1724.0,3,125.0
Chikkalasandra,1290.0,3,56.12
Uttarahalli,1143.0,2,45.0
Murugeshpalya,1296.0,2,81.0
Sarjapur  Road,1254.0,3,38.0
Ganga Nagar,600.0,1,38.0
Yelahanka,660.0,1,48.0
Kanakpura Road,1330.74,2,91.79
HSR Layout,600.0,8,200.0
Doddathoguru,970.0,2,33.0
Whitefield,1459.0,2,94.82
KR Puram,800.0,2,130.0
Other,869.0,2,36.0
Other,1270.0,2,50.0
Bhoganhalli,1670.0,3,99.0
Whitefield,2010.0,3,91.0
Lakshminarayana Pura,1185.0,2,75.0
Yelahanka,1600.0,3,75.0
Begur Road,1200.0,2,44.0
Devanahalli,3210.0,4,192.0
Other,1500.0,2,185.0
Murugeshpalya,1407.0,6,150.0
Other,840.0,2,45.0
Other,4395.0,3,240.0
Ganga Nagar,845.0,2,55.0
Whitefield,5700.0,4,650.0
Varthur,1160.0,2,44.0
Bommanahalli,3000.0,8,140.0
Doddathoguru,1100.0,2,62.0
Gunjur,1140.0,2,43.0
Marathahalli,1220.0,2,57.0
Other,1350.0,8,85.0
Kanakpura Road,1005.0,2,36.68
Other,500.0,3,100.0
Begur Road,1358.0,2,80.58
Hegde Nagar,1569.0,3,101.0
Haralur Road,1240.0,2,70.0
Hennur Road,2089.0,3,140.0
Kothannur,1206.0,2,48.23
Kalena Agrahara,1150.0,2,40.0
Other,2511.0,3,205.0
Kaval Byrasandra,460.0,2,22.0
ISRO Layout,4400.0,6,250.0
Other,1660.0,3,105.0
Hennur Road,3203.5,4,224.5
Yelahanka,1326.0,2,78.0
Garudachar Palya,1325.0,3,60.8
EPIP Zone,1499.0,3,102.0
Hegde Nagar,3000.0,6,210.0
Kanakpura Road,1665.0,3,88.0
Dasanapura,708.0,2,37.0
Kasavanhalli,1060.0,2,58.06
Rajaji Nagar,710.0,6,160.0
Sanjay nagar,1000.0,2,70.0
Electronic City,1000.0,2,28.88
Other,1450.0,3,70.0
ISRO Layout,1200.0,4,155.0
Thanisandra,1296.0,2,80.0
Domlur,1540.0,3,90.0
Kengeri,2894.0,4,245.0
Sarjapura - Attibele Road,1330.0,3,48.0
Other,1200.0,2,65.0
Other,1200.0,3,90.0
Yeshwanthpur,2502.0,3,138.0
Chandapura,650.0,2,17.0
Kothanur,2400.0,3,150.0
Other,1007.0,2,43.0
Other,1200.0,2,50.0
Other,966.0,2,49.9
Nagarbhavi,1630.0,3,98.0
Rajaji Nagar,1640.0,3,229.0
Other,782.0,2,55.68
Devanahalli,1260.0,2,66.78
Other,1800.0,3,120.0
Other,1413.0,3,75.0
Whitefield,1116.0,2,51.91
Electronic City,1530.0,3,45.9
Ramamurthy Nagar,3700.0,4,225.0
Sarjapur  Road,2497.0,3,140.0
Kengeri,1540.0,3,64.0
Thanisandra,1436.0,3,74.75
Malleshwaram,1100.0,2,75.0
Hennur Road,276.0,2,23.0
Thanisandra,1427.0,3,120.0
Akshaya Nagar,2061.0,3,200.0
Hebbal,5611.5,4,477.0
Shampura,2650.0,4,150.0
Devanahalli,1282.0,3,68.52
Kadugodi,1050.0,2,34.0
LB Shastri Nagar,1600.0,3,65.0
Other,945.0,2,54.0
Hormavu,1500.0,2,78.0
Vishwapriya Layout,950.0,7,115.0
Other,1870.0,3,110.0
Sarjapur,1600.0,3,75.0
Electronic City,880.0,2,16.5
Other,1200.0,4,210.0
Kudlu Gate,1535.0,3,83.0
Kanakpura Road,950.0,2,57.0
Devanahalli,1360.0,2,65.0
8th Phase JP Nagar,1073.5,2,54.005
Bommasandra Industrial Area,1280.0,3,50.4
Other,1260.0,3,85.05
Hennur Road,5000.0,8,250.0
Yelahanka,3050.0,5,213.0
Kasavanhalli,1563.05,3,105.0
ISRO Layout,1000.0,2,60.0
Anandapura,1167.0,2,43.76
Vishveshwarya Layout,4000.0,7,225.0
Kothanur,1828.0,3,110.0
Kengeri Satellite Town,890.0,2,35.0
Other,1612.0,3,46.74
Other,1034.0,6,185.0
Mysore Road,1710.0,3,91.31
Kannamangala,957.0,2,58.0
 Devarachikkanahalli,1250.0,3,44.0
Other,2795.0,3,235.0
Hulimavu,1125.0,2,50.0
Electronic City Phase II,1020.0,2,30.6
Kalena Agrahara,1200.0,2,50.0
Thanisandra,1735.0,3,135.0
Thanisandra,2050.0,3,145.0
Mahalakshmi Layout,3750.0,4,760.0
Other,1350.0,3,48.0
Hosa Road,1063.0,2,32.0
Other,1904.0,3,150.0
Whitefield,4200.0,4,420.0
Other,2000.0,3,175.0
Sarjapur,1242.5,2,43.49
Other,1425.0,3,75.0
Electronic City,1500.0,3,64.5
Electronic City,1060.0,2,60.0
Other,1470.0,3,70.0
Other,1300.0,6,99.0
Attibele,450.0,1,11.0
Electronic City,1152.0,2,64.5
Electronic City,1350.0,3,56.0
CV Raman Nagar,1550.0,3,65.0
Other,1500.0,3,100.0
Kumaraswami Layout,600.0,5,85.0
Nagavara,400.0,1,14.0
Malleshwaram,705.0,1,67.0
Electronic City,770.0,2,36.0
Hulimavu,1242.0,2,51.0
Hebbal Kempapura,1700.0,3,155.0
Thanisandra,2144.0,3,145.0
Vijayanagar,1704.0,3,110.0
Electronic City,1070.0,2,52.0
Other,1846.0,3,300.0
Other,1340.0,2,55.7
Electronic City,1025.0,2,46.0
KR Puram,1277.5,2,56.8
Marathahalli,1200.0,2,52.0
Kanakpura Road,2250.0,4,110.0
