location,total_sqft,size,price,price_per_sqft
 Devarachikkanahalli,1250.0,3,4400000.0,3520.0
 Devarachikkanahalli,1250.0,2,4000000.0,3200.0
 Devarachikkanahalli,1170.0,2,4000000.0,3418.803418803419
 Devarachikkanahalli,1425.0,3,6500000.0,4561.403508771929
 Devarachikkanahalli,947.0,2,4300000.0,4540.654699049631
 Devarachikkanahalli,1130.0,2,3600000.0,3185.8407079646017
 Devarachikkanahalli,1417.0,3,7600000.0,5363.443895553987
 Devarachikkanahalli,1230.0,2,5800000.0,4715.447154471544
 Devarachikkanahalli,1705.0,3,7500000.0,4398.826979472141
 Devarachikkanahalli,1116.0,2,4700000.0,4211.469534050179
 Devarachikkanahalli,991.0,2,4000000.0,4036.326942482341
 Devarachikkanahalli,1700.0,3,7100000.0,4176.470588235294
1st Block Jayanagar,2850.0,4,42800000.0,15017.543859649122
1st Block Jayanagar,1630.0,3,19400000.0,11901.840490797545
1st Block Jayanagar,1875.0,3,23500000.0,12533.333333333334
1st Block Jayanagar,2400.0,4,45000000.0,18750.0
1st Block Jayanagar,1000.0,2,6000000.0,6000.0
1st Block Jayanagar,1200.0,3,13000000.0,10833.333333333334
1st Block Jayanagar,1235.0,2,14800000.0,11983.805668016194
1st Block Jayanagar,2750.0,4,41300000.0,15018.181818181818
1st Block Jayanagar,1760.0,3,11500000.0,6534.090909090909
1st Block Jayanagar,2450.0,4,36800000.0,15020.408163265307
1st Block Koramangala,1415.0,2,11000000.0,7773.851590106007
1st Block Koramangala,2360.0,4,60000000.0,25423.728813559323
1st Block Koramangala,860.0,2,6550000.0,7616.279069767442
1st Block Koramangala,3000.0,4,30000000.0,10000.0
1st Block Koramangala,2350.0,3,21000000.0,8936.170212765957
1st Block Koramangala,1800.0,3,5300000.0,2944.4444444444443
1st Block Koramangala,2360.0,4,60100000.0,25466.101694915254
1st Block Koramangala,1000.0,2,4500000.0,4500.0
1st Block Koramangala,3000.0,4,50000000.0,16666.666666666668
1st Block Koramangala,1200.0,4,35000000.0,29166.666666666668
1st Phase JP Nagar,2825.0,4,25000000.0,8849.557522123894
1st Phase JP Nagar,1875.0,3,16700000.0,8906.666666666666
1st Phase JP Nagar,1500.0,5,8500000.0,5666.666666666667
1st Phase JP Nagar,2065.0,3,21000000.0,10169.49152542373
1st Phase JP Nagar,2024.0,3,15700000.0,7756.916996047431
1st Phase JP Nagar,2059.0,3,22500000.0,10927.634774162214
1st Phase JP Nagar,1394.0,2,10000000.0,7173.601147776184
1st Phase JP Nagar,1077.0,2,9300000.0,8635.097493036212
1st Phase JP Nagar,1286.0,1,6300000.0,4898.9113530326595
1st Phase JP Nagar,1566.0,2,18000000.0,11494.252873563219
1st Phase JP Nagar,840.0,1,5000000.0,5952.380952380952
1st Phase JP Nagar,1590.0,3,13100000.0,8238.993710691824
1st Phase JP Nagar,2180.0,3,21000000.0,9633.02752293578
1st Phase JP Nagar,1180.0,2,8850000.0,7500.0
1st Phase JP Nagar,1200.0,2,8600000.0,7166.666666666667
1st Phase JP Nagar,1394.0,2,8500000.0,6097.5609756097565
1st Phase JP Nagar,2077.0,3,17500000.0,8425.613866153106
1st Phase JP Nagar,4550.0,4,24000000.0,5274.725274725275
1st Phase JP Nagar,1205.0,2,8500000.0,7053.941908713693
1st Phase JP Nagar,2615.0,4,22200000.0,8489.483747609942
1st Phase JP Nagar,900.0,2,7500000.0,8333.333333333334
2nd Stage Nagarbhavi,1500.0,4,22000000.0,14666.666666666666
2nd Stage Nagarbhavi,3000.0,6,45100000.0,15033.333333333334
2nd Stage Nagarbhavi,2400.0,6,45000000.0,18750.0
2nd Stage Nagarbhavi,1200.0,4,24500000.0,20416.666666666668
2nd Stage Nagarbhavi,1350.0,4,20000000.0,14814.814814814816
2nd Stage Nagarbhavi,1200.0,4,22500000.0,18750.0
2nd Stage Nagarbhavi,1500.0,4,23000000.0,15333.333333333334
5th Block Hbr Layout,1206.0,2,5600000.0,4643.449419568822
5th Block Hbr Layout,1270.0,3,7000000.0,5511.811023622047
5th Block Hbr Layout,1312.0,2,6900000.0,5259.1463414634145
5th Block Hbr Layout,1100.0,2,4800000.0,4363.636363636364
5th Block Hbr Layout,3600.0,5,13000000.0,3611.1111111111113
5th Block Hbr Layout,5100.0,6,30000000.0,5882.35294117647
5th Phase JP Nagar,1075.0,2,6000000.0,5581.395348837209
5th Phase JP Nagar,1150.0,2,5250000.0,4565.217391304348
5th Phase JP Nagar,1070.0,2,3900000.0,3644.8598130841124
5th Phase JP Nagar,1256.0,2,6280000.0,5000.0
5th Phase JP Nagar,1207.0,2,6300000.0,5219.552609776305
5th Phase JP Nagar,1725.0,3,10000000.0,5797.101449275362
5th Phase JP Nagar,1440.0,2,6000000.0,4166.666666666667
5th Phase JP Nagar,1400.0,3,8800000.0,6285.714285714285
5th Phase JP Nagar,1450.0,2,5800000.0,4000.0
5th Phase JP Nagar,1700.0,3,10000000.0,5882.35294117647
5th Phase JP Nagar,1485.0,3,6700000.0,4511.784511784512
